hanzi,pinyin,meaning,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,level
麻,má,hemp,株,琳,棵,林,栓,析,材,桩,杯,HSK3
拍,pāi,to pat,抽,拒,担,括,拄,捏,措,市,姑,HSK3
币,bì,currency,手,千,话,市,活,刮,书,舌,泪,HSK3
冒,mào,to risk,盲,宣,言,富,昌,青,官,胃,宫,HSK3
媒,méi,matchmaker,妹,煤,皱,姊,娘,联,姓,婿,摄,HSK3
祝,zhù,to wish well,视,杭,说,邪,就,觉,税,愣,咙,HSK3
邮,yóu,post,邦,陆,耶,鄙,部,郎,盹,邪,肿,HSK3
裤,kù,trousers,傅,祸,侮,禅,阀,例,褐,梅,祷,HSK3
苹,píng,apple,幸,莹,菩,牢,窑,蓝,竿,芒,牛,HSK3
泳,yǒng,to swim,泌,冰,汤,淤,浮,讼,咏,涂,沟,HSK3
员,yuán,member,贡,贵,页,责,贾,赏,贞,项,号,HSK3
至,zhì,until,空,罕,室,云,车,侄,牢,窑,歪,HSK3
展,zhǎn,to unfold,康,鹿,辰,锯,屏,履,虔,衷,尿,HSK3
界,jiè,world,养,哭,男,美,类,奔,夹,果,乔,HSK3
象,xiàng,elephant,家,像,橡,奏,姿,豫,务,缘,嫁,HSK3
据,jù,evidence,拥,护,握,崭,掘,提,捉,堤,锯,HSK3
死,sǐ,death,列,尿,泉,求,张,宛,殆,访,伤,HSK3
联,lián,to unite,跌,挟,葵,廷,峡,铁,埃,毁,秧,HSK3
深,shēn,deep,溢,沫,浑,渣,睬,裸,溜,橙,湘,HSK3
价,jià,price,伏,侨,份,介,侠,芥,仗,乔,袱,HSK3
器,qì,utensil,窜,睹,磊,窑,卑,暗,智,署,商,HSK3
念,niàn,to miss,贫,态,冷,翁,贪,悉,拎,沧,绘,HSK3
首,shǒu,head,官,晋,昔,自,百,音,宜,章,普,HSK3
落,luò,to fall,溶,潜,接,澄,铭,路,斜,泰,咨,HSK3
势,shì,force,晓,契,凳,捞,筑,窥,挽,挠,冤,HSK3
希,xī,to hope,茅,诵,争,举,择,客,番,隶,轻,HSK3
章,zhāng,chapter,童,旱,靠,皇,晋,呈,宫,量,官,HSK3
底,dǐ,bottom,屁,鹿,质,张,低,廊,钥,访,庞,HSK3
奇,qí,strange,寄,牵,查,召,医,倚,否,号,音,HSK3
按,àn,to press,接,技,拼,挟,歧,拔,拽,坡,扶,HSK3
害,hài,to harm,善,兽,青,宫,董,喜,辜,官,普,HSK3
纪,jì,era,绍,弦,范,窃,韵,诧,祀,勾,说,HSK3
朝,cháo,dynasty,萌,胡,腊,腥,哨,肺,弹,眼,碍,HSK3
值,zhí,value,借,倡,宿,植,盾,售,伯,昼,直,HSK3
福,fú,happiness,磊,谓,碧,辐,谱,僧,商,请,幕,HSK3
判,pàn,to judge,钙,焊,别,宠,府,弹,吭,宪,掠,HSK3
皮,pí,skin,友,肢,及,支,艾,丈,攻,叹,反,HSK3
坚,jiān,firm,竖,最,茉,果,某,圣,轻,芽,拾,HSK3
善,shàn,virtuous,害,普,兽,章,窖,曾,南,碧,宰,HSK3
压,yā,pressure,庄,玉,店,归,岩,佳,岸,库,宝,HSK3
优,yōu,excellent,忧,仇,伪,仿,伤,扰,侦,伏,恍,HSK3
散,sàn,to disperse,敏,敬,破,腹,致,蚊,玫,敌,叔,HSK3
娘,niáng,mom,妒,好,姊,媒,狼,婚,婿,狠,媚,HSK3
恐,kǒng,to fear,忍,怨,锐,统,饶,跳,烧,悉,施,HSK3
剧,jù,drama,腊,席,搞,朝,割,剖,膛,峙,煌,HSK3
跳,tiào,to jump,挑,姚,桃,恐,逃,拟,城,烧,跪,HSK3
浪,làng,wave,银,很,淇,沪,哀,狠,痕,袁,狼,HSK3
挂,guà,to hang,捏,措,蛙,拄,扯,封,描,苦,掉,HSK3
牌,pái,brand,碑,脾,腊,辟,啤,睹,短,腥,薛,HSK3
播,bō,to broadcast,掐,择,推,番,捧,摧,搭,捅,插,HSK3
暖,nuǎn,warm,援,破,菠,玻,吸,腹,拨,缓,被,HSK3
糖,táng,sugar,稠,缚,糊,德,糙,榴,蟹,穗,薪,HSK3
搬,bān,to relocate,艇,撤,饿,辙,撼,糠,魏,锻,腾,HSK3
胖,pàng,fat,胜,舶,拌,脏,辟,讲,驻,脾,肝,HSK3
裙,qún,skirt,裸,祷,磋,祥,律,棒,谁,搓,橙,HSK3
啤,pí,beer,碑,卑,窜,单,睹,革,牌,盘,审,HSK3
性,xìng,nature,惜,件,悼,壮,怔,伴,怕,柱,灶,HSK3
被,bèi,quilt,彼,玻,破,坡,极,叛,披,圾,吸,HSK3
管,guǎn,pipe,筐,晕,碧,窖,普,署,暑,垦,蓄,HSK3
命,mìng,life,金,全,盒,余,企,伞,舍,合,含,HSK3
规,guī,regulations,舰,观,就,现,唬,锐,鸦,航,视,HSK3
持,chí,to support,拧,特,捎,拌,拄,措,抨,插,掠,HSK3
标,biāo,mark,棕,栋,档,粽,秤,梢,材,桩,榨,HSK3
验,yàn,to check,骄,脸,险,款,绸,绽,韵,歇,观,HSK3
终,zhōng,end,泼,竣,涤,滚,怒,冬,缀,然,灸,HSK3
绝,jué,to cut off,爸,轮,抡,纺,幼,笔,绒,钓,纪,HSK3
群,qún,crowd,拜,薛,辞,暇,唯,瞪,睡,鲜,磋,HSK3
预,yù,in advance,陨,顶,觉,领,览,际,颈,悲,搅,HSK3
继,jì,to continue,龄,粒,纲,粽,糙,栋,碰,粮,嘛,HSK3
险,xiǎn,dangerous,脸,俭,捡,检,阶,除,验,陷,焰,HSK3
待,dài,to treat,得,侍,诗,悄,特,讶,赤,往,梢,HSK3
哈,hā,haha,啥,恰,拾,查,矩,杏,佯,临,知,HSK3
乱,luàn,chaos,刮,括,时,拄,弹,钻,毕,配,氓,HSK3
烈,liè,intense,然,蒸,添,涉,热,淀,杰,溯,膨,HSK3
沙,shā,sand,涉,泌,次,冰,炒,冷,讼,沟,纱,HSK3
误,wù,error,逗,诀,吴,读,请,煌,莫,渠,短,HSK3
屋,wū,house,犀,库,屑,唐,层,墓,雇,厚,唇,HSK3
救,jiù,to rescue,教,拨,敦,墩,致,较,搂,数,绿,HSK3
缺,quē,to lack,峡,映,快,挟,跌,嵌,联,辣,殃,HSK3
幸,xìng,fortunate,莹,宰,宝,菩,苦,苹,丰,昔,羊,HSK3
赶,gǎn,to hurry,赴,娃,挫,胜,挂,堤,捉,竖,芽,HSK3
舞,wǔ,dance,整,锤,睁,截,蒲,建,腰,肆,罐,HSK3
烦,fán,annoyed,熄,频,领,颊,愣,倾,颇,锁,硕,HSK3
吵,chǎo,noisy,砂,渺,钞,秒,穴,炒,列,吹,兴,HSK3
资,zī,assets,贤,贷,贫,贸,袋,瓷,经,货,姿,HSK3
基,jī,base,墓,甚,暮,君,若,幸,担,借,在,HSK3
步,bù,footstep,岁,罗,歹,萝,朱,牙,丧,泉,金,HSK3
造,zào,to create,逗,追,适,道,逞,逼,浩,洁,荷,HSK3
调,diào,tune,稠,绸,倘,询,铜,褐,愿,赠,躺,HSK3
整,zhěng,entire,塞,辖,犁,磋,搓,磕,辐,棒,捧,HSK3
约,yuē,to make an appointment,钧,钓,沟,哟,汤,纺,泌,灼,沏,HSK3
线,xiàn,line,浅,钱,残,践,绕,绣,绞,绒,缓,HSK3
增,zēng,to increase,蹭,蜡,蝠,憎,虾,墙,蝗,堪,醋,HSK3
突,tū,suddenly,奕,唉,案,架,类,奥,穷,侯,冤,HSK3
费,fèi,expense,赛,赞,贸,贤,贯,贺,遛,毁,琐,HSK3
痛,tòng,to ache,病,痒,瘤,痹,痴,悔,侮,钥,赌,HSK3
富,fù,wealthy,高,宣,兽,宫,胃,营,晶,堂,哥,HSK3
宣,xuān,to proclaim,富,宫,官,昌,高,兽,章,言,喜,HSK3
怪,guài,strange,竖,举,客,轻,衷,坚,诀,择,袁,HSK3
景,jǐng,scenery,冥,亭,亨,享,京,祟,哼,票,崇,HSK3
握,wò,to hold,据,崭,掘,募,堤,掐,瘤,锯,嬉,HSK3
猪,zhū,pig,猛,接,猿,姥,绪,猎,猴,裂,铭,HSK3
甜,tián,sweet,咀,钳,苗,旺,晤,辟,胜,宙,距,HSK3
制,zhì,system,啼,削,剃,锦,闹,砸,割,刷,揣,HSK3
解,jiě,to untie,懈,确,健,镰,嘴,键,魏,截,俺,HSK3
领,lǐng,collar,颈,倾,预,烦,频,馈,硕,颊,财,HSK3
城,chéng,city,诚,烧,减,旋,戒,域,绒,劫,筑,HSK3
除,chú,to eliminate,徐,阶,险,捡,绘,俭,疮,途,茶,HSK3
紧,jǐn,tight,紊,繁,絮,紫,凑,轿,瀑,俊,锋,HSK3
破,pò,to break,玻,坡,被,皱,吸,彼,圾,披,敲,HSK3
演,yǎn,to perform,滴,溃,滨,淳,淌,润,涌,凉,浑,HSK3
输,shū,to transport,榆,偷,渝,喻,逾,翰,愈,翻,愉,HSK3
赛,sài,competition,费,寨,贤,琴,资,裳,惯,贯,襄,HSK3
桥,qiáo,bridge,秩,秧,侨,麻,粹,株,榜,状,琳,HSK3
族,zú,clan,旋,疾,染,殃,痪,脸,梁,筷,腺,HSK3
续,xù,to continue,绿,绩,绽,凌,绣,绞,绒,荡,铰,HSK3
境,jìng,boundary,摸,现,损,宽,垮,撑,镜,捞,悲,HSK3
警,jǐng,police,塑,惠,蓄,蜜,筹,誓,塞,筐,腐,HSK3
顿,dùn,to pause,硕,谎,顽,喷,蒜,慌,颊,愤,损,HSK3
容,róng,to contain,蓉,客,榕,轻,窄,塔,搭,雀,诺,HSK3
赢,yíng,to win,谎,题,舰,鹰,飘,隐,愿,陶,腻,HSK3
察,chá,to examine,祭,裂,袋,袭,茅,弦,窃,经,裳,HSK3
之,zhī,of,乏,芝,眨,分,介,贬,今,尖,个,HSK4
与,yǔ,offer,写,号,亏,弓,乌,马,鸟,丐,享,HSK4
士,shì,soldier,土,十,王,正,上,工,干,击,丰,HSK4
巴,bā,crust,已,己,芭,岂,吧,屯,兄,另,克,HSK4
耳,ěr,ear,甘,直,丰,且,担,串,土,申,自,HSK4
巨,jù,gigantic,曰,吕,旦,百,呈,回,目,日,吉,HSK4
牙,yá,tooth,才,芽,束,查,宋,来,左,丹,呀,HSK4
虫,chóng,insects,五,虽,击,串,中,咕,宙,岳,坦,HSK4
豆,dòu,beans,吕,吾,巨,音,宫,旦,晋,曰,回,HSK4
寸,cùn,Chinese inch,守,打,讨,付,时,订,子,京,丁,HSK4
无,wú,nothing,尤,先,元,克,才,宪,完,晃,抚,HSK4
权,quán,authority,枚,枝,杖,板,仗,仅,叹,收,处,HSK4
林,lín,woods,株,杯,麻,材,休,体,袜,琳,栓,HSK4
未,wèi,not yet,末,朱,木,宋,来,束,本,术,呆,HSK4
亚,yà,Asia,当,平,半,怔,巫,临,业,杠,区,HSK4
企,qǐ,to tiptoe,木,全,金,术,命,禾,宋,舍,合,HSK4
史,shǐ,history,吏,更,支,央,使,麦,英,丈,友,HSK4
引,yǐn,to draw,弓,马,号,乌,丐,躬,向,亏,写,HSK4
律,lǜ,law,津,祥,裙,榕,磋,谨,谁,催,谋,HSK4
江,jiāng,river,汪,汗,汁,沾,注,油,让,汀,泊,HSK4
独,dú,alone,猫,烛,狂,猎,坊,拱,奸,战,姓,HSK4
益,yì,benefit,空,室,蛮,侄,罕,许,帘,谊,窑,HSK4
雷,léi,thunder,雪,围,蕾,富,重,睛,闺,南,董,HSK4
阵,zhèn,battle formation,陪,都,萨,阱,陡,陆,等,堕,荐,HSK4
登,dēng,to mount,奢,举,差,李,客,诺,短,酱,奔,HSK4
叶,yè,leaf,咕,吐,廿,土,世,卓,苗,十,早,HSK4
呀,yā,exclamation,讶,晾,时,牙,哨,碍,芽,荷,吗,HSK4
妇,fù,married woman,如,奸,姑,姓,娃,狂,姐,矩,护,HSK4
归,guī,to return,压,库,店,岸,岩,庄,扫,当,席,HSK4
逐,zhú,to pursue,遂,姿,凌,逢,家,鲨,羡,凄,婆,HSK4
寻,xún,to seek,寺,宇,享,亭,军,青,号,垦,亨,HSK4
卷,juàn,scroll,券,拳,挎,冤,凳,第,骄,巷,猪,HSK4
弱,ruò,weak,绢,韵,脖,骑,躬,猾,鸽,录,钥,HSK4
伙,huǒ,companion,火,吹,份,欣,炊,袱,秋,灭,砍,HSK4
盘,pán,tray,牵,窜,窑,莓,每,酋,竿,菩,啤,HSK4
申,shēn,to express,由,甲,中,串,丰,苗,甘,亩,再,HSK4
闪,shǎn,flash,内,涡,灯,利,肉,衬,讨,烂,付,HSK4
售,shòu,to sell,春,着,暮,智,署,君,垦,暑,害,HSK4
折,zhé,to break,拆,护,斯,扩,斩,捉,所,崭,垢,HSK4
秀,xiù,elegant,秃,芬,奖,桨,矣,岔,奕,菜,突,HSK4
汇,huì,to converge,京,让,宗,证,忙,团,问,门,当,HSK4
闭,bì,close,闲,谅,宗,词,棕,行,帘,栏,何,HSK4
奋,fèn,to exert,客,吞,拾,聋,笛,眷,番,卒,弃,HSK4
泪,lèi,tears,泊,沮,洁,沽,沾,浩,酒,肖,油,HSK4
季,jì,season,李,穿,茅,香,衰,录,茎,套,老,HSK4
尾,wěi,tail,尼,屠,虐,唇,厚,局,扇,层,肩,HSK4
隔,gé,to separate,障,郭,陨,堕,鸣,莺,鹊,鸭,精,HSK4
扫,sǎo,to sweep,扛,扣,拓,苛,节,担,钻,坦,岩,HSK4
尺,chǐ,ruler,户,万,天,广,历,厌,刀,矢,庆,HSK4
肥,féi,fat,把,吧,肘,宪,的,配,茄,兜,党,HSK4
晒,shài,to bask,酷,醋,牺,酝,栖,酣,昨,捆,帕,HSK4
治,zhì,to govern,冶,沼,洽,法,沪,沿,涌,消,滨,HSK4
即,jí,immediately,却,问,京,卸,时,间,讳,吁,词,HSK4
乎,hū,oh,手,呼,丢,丧,币,饪,亲,讨,抨,HSK4
构,gòu,to construct,符,栋,桃,松,纳,衬,枕,弥,税,HSK4
严,yán,strict,尸,产,库,丹,厅,芦,厂,屑,座,HSK4
依,yī,to depend on,衣,很,侨,水,论,徐,茶,伏,俭,HSK4
斗,dǒu,measuring cup,汁,汗,江,习,扑,抖,印,宅,沾,HSK4
限,xiàn,limit,阴,陡,邪,邦,银,艰,邓,郑,部,HSK4
陆,lù,land,陌,挂,挡,肚,扯,钻,抨,腊,碧,HSK4
既,jì,since,谢,耽,咙,魂,就,悲,筑,忧,卵,HSK4
降,jiàng,to descend,隆,绎,陷,释,陵,择,庭,猪,铭,HSK4
沉,chén,to sink,沈,洗,说,泥,况,汽,泻,汛,污,HSK4
免,miǎn,to avoid,兔,龟,芬,龙,色,挽,鬼,冤,疮,HSK4
恶,è,evil,惩,忘,总,悲,恩,志,箭,亲,粽,HSK4
户,hù,door,片,广,月,尺,芦,启,万,店,斤,HSK4
序,xù,order,茅,孕,穿,宠,窝,学,勇,疗,存,HSK4
渐,jiàn,gradually,浙,潦,浮,逝,钧,钞,涕,沏,瀑,HSK4
松,sōng,pine,讼,似,秒,你,秋,构,锹,称,彬,HSK4
秘,mì,secret,称,锹,溉,揪,秋,钦,炫,饶,弥,HSK4
谓,wèi,to call,请,福,谱,磊,票,谭,词,谊,碧,HSK4
择,zé,to choose,接,捧,轻,拴,揍,播,掐,捨,摔,HSK4
玉,yù,jade,王,干,工,正,平,主,亩,宝,土,HSK4
森,sēn,forest,探,婪,味,麻,禁,笨,谋,棵,辣,HSK4
骨,gǔ,bone,肯,胃,青,富,兽,寓,昂,晶,宫,HSK4
扩,kuò,to enlarge,护,折,拆,拐,捉,扰,疗,挟,拽,HSK4
盖,gài,lid,堂,靠,罪,皇,晋,罩,南,童,壶,HSK4
冰,bīng,ice,泳,讼,咏,泌,永,沧,必,脉,水,HSK4
妻,qī,wife,姜,宴,要,妄,轰,最,羞,客,萎,HSK4
透,tòu,to penetrate,逸,递,设,途,姿,逃,授,遂,浇,HSK4
扬,yáng,to hoist,杨,肠,场,畅,瑟,捞,窃,荡,物,HSK4
兄,xiōng,elder brother,克,兑,另,元,冗,咒,完,已,己,HSK4
迅,xùn,rapid,远,拭,选,武,迈,抚,边,式,玩,HSK4
毕,bì,to complete,字,华,子,昆,皆,者,宇,县,有,HSK4
轮,lún,wheel,拎,抡,论,绘,软,抢,贫,埃,惫,HSK4
贝,bèi,shellfish,页,贞,侦,买,头,见,贵,贡,员,HSK4
译,yì,to translate,泽,谁,详,择,希,径,诵,涌,潜,HSK4
召,zhào,to summon,另,否,奇,丹,杏,西,右,亏,音,HSK4
厚,hòu,thick,层,屑,屋,犀,肩,晨,扇,享,原,HSK4
彻,chè,thorough,砌,沏,揪,初,城,诚,衔,肠,减,HSK4
丈,zhàng,Chinese yard,艾,仗,支,文,友,皮,女,反,坟,HSK4
淡,dàn,mild,谈,炎,烫,溪,涤,滚,泼,然,渗,HSK4
挑,tiāo,to select,跳,桃,姚,扰,拢,拟,逃,犹,挠,HSK4
劲,jìn,energy,场,幼,埃,筑,劫,苏,坎,球,功,HSK4
圈,quān,circle,离,莺,筐,堕,圆,围,型,粤,恩,HSK4
迟,chí,late,迈,近,退,达,迭,送,运,沿,还,HSK4
腰,yāo,waist,敷,耍,腹,藤,馒,膜,覆,赚,服,HSK4
幼,yòu,young,劲,炫,劝,劫,幻,旅,坎,扮,城,HSK4
湿,shī,wet,温,晾,踪,惊,谅,润,滑,渣,滥,HSK4
瓜,guā,melon,爪,抓,从,欣,扒,孤,饭,趴,放,HSK4
聊,liáo,to chat,柳,卿,耽,魁,愧,脚,酌,筑,饱,HSK4
棵,kē,plant,株,麻,裸,梯,栓,秤,琳,课,眯,HSK4
伞,sǎn,umbrella,金,命,朱,含,企,采,余,术,宋,HSK4
巾,jīn,towel,卫,吊,于,叶,节,市,吁,扫,占,HSK4
笨,bèn,stupid,奈,策,举,轻,森,奔,箱,菊,第,HSK4
袜,wà,socks,株,珠,抹,麻,裸,沫,淋,检,林,HSK4
政,zhèng,politics,玫,致,改,攻,收,敌,圾,取,坡,HSK4
则,zé,rule,顶,厕,财,别,勋,预,顽,顷,剪,HSK4
兵,bīng,troops,乓,乒,宾,具,丢,其,共,丧,尘,HSK4
阿,ā,pet name,郭,呜,吭,部,陪,鸽,邪,哼,郁,HSK4
局,jú,bureau,肩,屑,启,居,眉,周,层,厚,月,HSK4
投,tóu,to throw,股,授,设,役,挨,搜,换,技,毁,HSK4
料,liào,material,科,稍,秤,粹,榨,利,淋,棵,袜,HSK4
承,chéng,to undertake,筹,咏,歇,拎,傍,爆,烤,祭,惫,HSK4
述,shù,to narrate,迷,速,还,迭,珠,沫,袜,株,送,HSK4
居,jū,to reside,届,眉,店,启,声,岸,盾,足,屈,HSK4
财,cái,riches,倾,顾,领,就,顶,顽,熄,愣,频,HSK4
冲,chōng,to charge,仲,沽,坤,油,计,汗,牡,沾,汁,HSK4
担,dān,to carry on the shoulder,拒,坦,甚,距,咱,昔,革,草,扫,HSK4
征,zhēng,expedition,怔,证,往,杠,佳,症,粘,性,枉,HSK4
挥,huī,to brandish,幕,磕,搏,型,摔,拦,捍,控,搁,HSK4
怀,huái,to cherish,杯,补,忙,榨,环,闭,棕,怖,材,HSK4
航,háng,to navigate,脱,肌,舵,胧,饥,舰,规,抗,炕,HSK4
守,shǒu,to guard,寸,京,宗,宁,宇,打,控,亲,时,HSK4
良,liáng,good,畏,丧,哀,衰,身,痕,袁,泉,香,HSK4
临,lín,to overlook,监,怔,牢,蛮,悍,侄,磊,宿,悟,HSK4
呼,hū,to shout,乎,哨,销,掠,插,抨,晾,咐,待,HSK4
败,bài,to fail,处,敏,放,焕,驭,叙,赂,政,散,HSK4
梦,mèng,dream,秽,锣,煲,核,箩,裂,咳,移,桨,HSK4
县,xiàn,county,去,具,真,罢,者,苔,至,车,扫,HSK4
尚,shàng,to esteem,向,问,间,京,铝,常,即,当,苛,HSK4
移,yí,to shift,哆,侈,彩,梦,修,多,锣,俊,峻,HSK4
固,gù,solid,国,回,皇,呈,司,吕,曰,堂,唱,HSK4
附,fù,to attach,射,陈,炖,府,邪,既,愣,肘,谢,HSK4
吸,xī,to inhale,破,圾,被,极,玻,敞,咳,坡,致,HSK4
招,zhāo,to beckon,昭,拇,拐,留,捂,拓,损,抚,挡,HSK4
授,shòu,to confer,投,设,延,役,挨,毁,廷,技,埃,HSK4
孙,sūn,grandchild,抑,拟,诧,抒,批,弥,讹,芯,亦,HSK4
迫,pò,to compel,追,适,迪,道,造,逞,退,洁,结,HSK4
宁,níng,peaceful,丁,亏,于,宇,号,子,守,宗,卫,HSK4
替,tì,to replace,春,奢,智,督,署,君,暮,眷,酋,HSK4
促,cù,to urge,定,足,俱,徒,赴,侦,捉,供,桌,HSK4
延,yán,to prolong,廷,授,埃,毁,挺,政,致,衷,葵,HSK4
操,cāo,to exercise,躁,谍,噪,谋,藻,摸,臊,模,茉,HSK4
阻,zǔ,to block,陌,阳,祖,胆,开,担,昭,苗,尹,HSK4
抽,chōu,to take out,拍,姑,括,酣,枯,扯,捏,牡,拄,HSK4
距,jù,distance,坦,担,拒,咱,晤,暗,铝,菲,虽,HSK4
符,fú,symbol,栋,馅,衬,构,净,衔,储,祷,冻,HSK4
勇,yǒng,courageous,窝,穿,茅,寄,序,学,寇,裔,宠,HSK4
奖,jiǎng,award,桨,笑,秀,芬,矣,浆,秃,尖,务,HSK4
描,miáo,to describe,措,捍,押,捏,啪,挂,掉,蛙,蜡,HSK4
袋,dài,bag,裂,笼,筷,察,悉,浆,染,资,袭,HSK4
映,yìng,to reflect,英,缺,峡,肤,快,芙,挟,胡,夹,HSK4
码,mǎ,number,吗,蚂,晾,的,哨,驻,弹,呢,萌,HSK4
粗,cū,coarse,租,粘,相,祖,程,柏,柜,梢,枉,HSK4
酸,suān,sour,毁,锻,缎,魏,艇,挺,邀,翅,舔,HSK4
浓,nóng,concentrated,汰,沃,浙,涂,浮,泳,冰,港,坎,HSK4
弯,wān,curved,孪,蛮,票,祟,尝,室,帘,评,崇,HSK4
浅,qiǎn,shallow,线,浇,济,钱,涤,港,残,姿,溪,HSK4
肚,dù,belly,肝,庄,在,钻,扯,牡,肿,估,怕,HSK4
址,zhǐ,address,扯,牡,虹,扛,壮,捏,耻,在,掉,HSK4
帅,shuài,commander,师,肺,帐,肿,刑,帖,呐,咐,恤,HSK4
姨,yí,maternal aunt,敷,嫂,援,敦,娥,姥,腹,媒,嫉,HSK4
裹,guǒ,to wrap,衷,襄,妻,泰,凄,裂,轰,违,逮,HSK4
逛,guàng,to stroll,遛,递,逮,莲,违,连,选,遗,遥,HSK4
战,zhàn,war,或,捉,拐,拽,抚,猎,劫,护,挫,HSK4
却,què,to withdraw,即,讳,卸,时,虾,布,诺,抠,闭,HSK4
质,zhì,quality,侦,贺,赁,债,底,贷,贤,负,诉,HSK4
府,fǔ,government office,舟,射,肘,待,侍,胚,俏,腔,咐,HSK4
官,guān,bureaucrat,宫,昌,首,宣,章,兽,盲,晋,吾,HSK4
研,yán,to research,胜,袖,茄,桩,钳,碍,件,听,肿,HSK4
列,liè,to line up,例,死,灯,为,病,尿,银,伤,动,HSK4
案,àn,case,奕,突,侯,架,菜,柔,集,奥,养,HSK4
维,wéi,to maintain,雏,缅,裂,谁,准,难,秽,绪,淮,HSK4
施,shī,to carry out,腕,脆,婉,恐,鹅,她,跪,烧,驰,HSK4
细,xì,fine,结,组,绅,缅,绰,辟,绊,呀,胜,HSK4
率,lǜ,rate,窒,窘,室,畜,窗,阁,诸,蜜,翠,HSK4
甚,shèn,tremendously,担,堪,拒,草,苦,昔,基,若,直,HSK4
微,wēi,tiny,徽,瞅,锹,糠,悠,溯,揪,傲,缴,HSK4
置,zhì,to set up,直,曹,宜,罩,昔,靠,辜,卓,首,HSK4
获,huò,to seize,狭,联,拔,挟,殃,痪,玻,券,破,HSK4
模,mó,to imitate,辣,摸,谍,榜,懊,谋,煌,嗅,碟,HSK4
阶,jiē,steps,险,除,俭,候,邻,筷,族,队,伤,HSK4
宝,bǎo,treasure,虽,芒,主,宰,幸,玉,莹,岩,羊,HSK4
释,shì,to explain,稀,楼,轿,锋,搂,粹,稚,裸,秩,HSK4
货,huò,commodities,贫,贷,负,贤,贸,贪,贺,资,迄,HSK4
暗,àn,dark,晤,碧,菲,智,睹,距,晴,腊,普,HSK4
测,cè,to measure,涮,侧,源,溃,则,顾,厕,购,沟,HSK4
毫,háo,one thousandth,掌,膏,享,青,冒,望,事,管,垦,HSK4
遇,yù,to encounter,通,遗,遏,遛,递,莲,违,遵,遣,HSK4
虑,lǜ,to ponder,滤,唬,虏,恳,愚,虎,悬,虚,颖,HSK4
均,jūn,equal,匀,钧,诧,劲,浪,拘,钓,污,访,HSK4
含,hán,to keep,合,舍,金,会,名,今,令,拿,命,HSK4
摇,yáo,to shake,挫,谣,掐,损,猩,摔,蹈,推,摆,HSK4
疗,liáo,to cure,序,存,扩,花,仔,录,射,老,病,HSK4
翻,fān,to turn over,镯,嘴,稳,鞠,糊,鹤,穗,赖,蟹,HSK4
稳,wěn,stable,德,穗,隐,糙,襟,颖,锁,簿,梳,HSK4
醒,xǐng,to awaken,酷,博,醋,醇,薯,蓝,碧,辐,幕,HSK4
购,gòu,to purchase,钩,熄,颂,顾,账,烦,勾,沟,哟,HSK4
针,zhēn,needle,错,讳,计,钻,钟,钉,诗,茫,证,HSK4
抱,bào,to embrace,跑,拖,地,拘,弛,他,抢,胞,饱,HSK4
植,zhí,plant,框,桂,柜,棺,柏,枉,相,杠,槽,HSK4
措,cuò,to arrange,描,捏,挂,捂,扯,押,拄,掉,错,HSK4
烧,shāo,to burn,饶,绕,绒,疑,骄,筋,犹,城,烤,HSK4
伴,bàn,partner,住,件,社,柱,佯,在,枉,侍,仲,HSK4
粮,liáng,provisions,栋,榜,糙,探,槐,躲,梯,根,棵,HSK4
闹,nào,to make noise,闸,阐,箭,阎,前,啼,闺,精,制,HSK4
辩,biàn,to dispute,糙,辨,粹,磅,馅,邀,舷,襟,饼,HSK4
胸,xiōng,chest,脑,鸥,酌,钢,剃,脚,鸡,掏,魄,HSK4
摸,mō,to grope,模,境,膜,损,漠,超,捞,提,趋,HSK4
矿,kuàng,mine,旷,听,旬,胚,佑,甸,伊,产,知,HSK4
倍,bèi,times,宿,培,谊,侄,悟,侍,语,右,住,HSK4
郎,láng,young man,郁,廊,耶,部,邪,邓,郭,阿,邻,HSK4
泉,quán,spring,尿,哀,衰,录,柴,求,痕,畏,渠,HSK4
炼,liàn,to smelt,烤,熄,练,陈,炫,冻,栋,拣,熔,HSK4
刷,shuā,to brush,肺,制,削,涮,剔,剧,锦,剃,咐,HSK4
盐,yán,salt,缸,卧,吐,苛,节,耻,佳,萤,苦,HSK4
垃,lā,garbage,拉,位,坛,站,踪,挡,立,培,惊,HSK4
究,jiū,to research,穷,杂,宠,充,党,宪,杭,觉,旁,HSK4
敌,dí,enemy,故,玫,取,收,改,政,玻,坡,破,HSK4
致,zhì,to deliver,政,敏,毁,玫,叔,跤,跌,散,骆,HSK4
供,gōng,to supply,拱,住,灶,往,棋,伴,哄,侦,件,HSK4
型,xíng,mold,蓝,墨,辈,幕,博,蒂,碧,磊,挥,HSK4
项,xiàng,item,顷,坝,顶,损,志,窍,悲,贵,员,HSK4
密,mì,secret,弈,菊,赔,蕴,莓,题,梅,蒋,摔,HSK4
竟,jìng,actually,竞,党,亮,旁,完,宪,郭,壳,晃,HSK4
括,kuò,to include,拄,刮,话,拌,插,拍,措,捏,沽,HSK4
席,xí,mat,屉,库,扁,屑,碍,归,原,腊,焊,HSK4
诗,shī,poem,茫,评,讳,诺,侍,针,待,讨,谅,HSK4
脱,tuō,to take off,航,胧,悦,锐,恍,肌,肪,舵,腺,HSK4
